id,title,url,is_paid,price,duration,level,subject,source
55,Dividend Investing: Build Your Portfolio for a Better Future,https://www.udemy.com/dividend-investing/,TRUE,60,4,Beginner,Business Finance,Udemy
56,Learn Accounting. Understand Business.,https://www.udemy.com/learn-accounting-understand-business/,TRUE,200,5.5,Beginner,Business Finance,Udemy
57,How to Consistently Win Trading Stocks in 30 Days or Less,https://www.udemy.com/winningstocktrades/,TRUE,145,1,Intermediate,Business Finance,Udemy
58,A Beginner's Guide to Quantopian Futures API,https://www.udemy.com/quantopian-futures/,TRUE,20,1.5,Intermediate,Business Finance,Udemy
59,How to Buy Cheap Options - Options Trading Pricing Model,https://www.udemy.com/options-black-scholes-model/,TRUE,200,1,All Levels,Business Finance,Udemy
60,Excel Crash Course: Master Excel for Financial Analysis,https://www.udemy.com/excel-crash-course-master-excel-for-financial-analysis/,TRUE,105,3.5,All Levels,Business Finance,Udemy
61,"Comprehensive Guide to Financial Markets, Investing &Trading",https://www.udemy.com/financial-markets-a-to-z-for-beginners/,TRUE,60,9,Beginner,Business Finance,Udemy
62,Stock Trading Ninja: Complete System For Trading Success,https://www.udemy.com/stock-trading-ninja-learn-how-to-make-money-trading-stocks/,TRUE,155,4.5,All Levels,Business Finance,Udemy
63,Hedge and Mutual Fund Careers: The Complete Guide,https://www.udemy.com/hedge-fund-mutual-fund-careers-the-complete-guide-how-to-pick-stocks/,TRUE,200,8.5,All Levels,Business Finance,Udemy
64,Algorithmic Trading In Forex: Create Your First Forex Robot!,https://www.udemy.com/learn-mql4/,TRUE,185,6.5,All Levels,Business Finance,Udemy
65,The Power Modeling Bootcamp: Advanced Excel in 10 Days,https://www.udemy.com/the-power-modeling-bootcamp-advanced-excel-in-10-days/,TRUE,150,5.5,All Levels,Business Finance,Udemy
66,Options Trading Basics (3-Course Bundle),https://www.udemy.com/learn-options-trading-courses/,TRUE,180,11,Beginner,Business Finance,Udemy
67,How to Win 97% of Your Options Trades,https://www.udemy.com/how-to-win-97-percent-of-your-trades/,TRUE,125,1.5,All Levels,Business Finance,Udemy
68,How I Make Consistent Returns Trading Options,https://www.udemy.com/how-i-make-15-per-month-trading-options/,TRUE,200,3.5,All Levels,Business Finance,Udemy
69,"Forex Strategies: Kelly Criterion, Larry Williams and more!",https://www.udemy.com/money-management/,TRUE,185,3,All Levels,Business Finance,Udemy
70,"Elite Trend Trader: Learn To Trade Stocks, Options & Forex",https://www.udemy.com/elite-trend-trader-how-to-make-a-fortune-trading-the-trend/,TRUE,125,5,All Levels,Business Finance,Udemy
71,Options Trading Introduction: Day Trade Stock Options,https://www.udemy.com/how-to-trade-stock-options-level-1-start-day-trading/,TRUE,95,2.5,Beginner,Business Finance,Udemy
72,The Almost Perfect Options Trading Strategy System - Unique,https://www.udemy.com/the-almost-perfect-options-trading-strategy-system-unique/,TRUE,200,1,All Levels,Business Finance,Udemy
73,Forex Trading -  Learn to Trade Forex Like the Banks,https://www.udemy.com/forex-trading-learn-the-same-strategies-used-by-banks/,TRUE,20,1,All Levels,Business Finance,Udemy
74,Learn to Trade for Profit:Trading with Japanese Candlesticks,https://www.udemy.com/introduction-to-japanese-candlesticks/,TRUE,60,3,Beginner,Business Finance,Udemy
75,The Most Powerful Options Spread Trading Front Ratio Spread,https://www.udemy.com/the-most-powerful-options-spread-trading-front-ratio-spread/,TRUE,200,2,All Levels,Business Finance,Udemy
76,What Finance Job is for You? Explanation of 14 Finance Roles,https://www.udemy.com/what-finance-job-is-for-you-explanation-of-14-financial-analyst-roles/,TRUE,200,4,All Levels,Business Finance,Udemy
77,The Blueprint for Successful Stock Trading,https://www.udemy.com/stock-market-millionaire-blueprint/,TRUE,120,1,All Levels,Business Finance,Udemy
78,Trading for Beginners - Intermediate Level,https://www.udemy.com/trading-for-beginners-tier-2/,TRUE,150,5,Beginner,Business Finance,Udemy
79,Start Trading Stocks Using Technical Analysis!,https://www.udemy.com/professional-stock-trader/,TRUE,25,4,All Levels,Business Finance,Udemy
80,Learn How to Set Up an Incubator Hedge Fund - Step-by-Step,https://www.udemy.com/hedge-fund-startup/,TRUE,200,1.5,Advanced,Business Finance,Udemy
81,VPS for Forex Trading - Protect Your Forex Robots,https://www.udemy.com/forex-vps/,TRUE,160,2,All Levels,Business Finance,Udemy
82,Introduction to Accounting: The Language of Business,https://www.udemy.com/learnaccountingforfree/,TRUE,20,11.5,Beginner,Business Finance,Udemy
83,Basic Excel for Basic Bookkeeping and Accounting,https://www.udemy.com/basic-excel-for-basic-bookkeeping/,TRUE,95,1.5,Beginner,Business Finance,Udemy
84,"Using 'The Greeks To Understand Options""",https://www.udemy.com/options-greeks/,TRUE,50,1,All Levels,Business Finance,Udemy
85,Trading Options For Consistent Returns: Calendar Spreads,https://www.udemy.com/trading-options-for-consistent-returns-calendar-spreads/,TRUE,200,1.5,All Levels,Business Finance,Udemy
86,How to Create Your Personal Budget,https://www.udemy.com/personal-budget/,TRUE,20,1,All Levels,Business Finance,Udemy
87,The Complete Value Investing Course: A Proven Approach,https://www.udemy.com/value-investing-essential-guide-to-picking-stocks/,TRUE,200,4.5,All Levels,Business Finance,Udemy
88,FOREX Trading with Price Action,https://www.udemy.com/forex-trading-system/,TRUE,195,1,Beginner,Business Finance,Udemy
89,Emini ES Futures - Advanced Non Directional Options Trading,https://www.udemy.com/emini-es-futures-advanced-non-directional-options-trading/,TRUE,200,1.5,All Levels,Business Finance,Udemy
90,Forex Trading - Advanced Fundamental Analysis,https://www.udemy.com/forex-trading-advanced-fundamental-analysis/,TRUE,20,2.5,Intermediate,Business Finance,Udemy
91,How To Invest With Tiny Capital In Stocks ?,https://www.udemy.com/howtoinvest5k/,TRUE,20,0.7,Beginner,Business Finance,Udemy
92,Learn How To Successfully Trade Stocks: In 5 Simple Steps,https://www.udemy.com/learn-how-to-successfully-trade-stocks-in-5-simple-steps/,TRUE,95,9.5,All Levels,Business Finance,Udemy
93,Forex MetaTrader 4: Master MT4 Like A Pro Forex Trader,https://www.udemy.com/metatrader4/,TRUE,150,5,Beginner,Business Finance,Udemy
94,Intermediate Options trading concepts for Stocks and Options,https://www.udemy.com/intermediate-options-trading-concepts-for-stocks-and-options-traders/,TRUE,40,1,All Levels,Business Finance,Udemy
95,Options Trading 101: The Basics,https://www.udemy.com/options-trading-101-the-basics/,FALSE,0,0.55,Beginner,Business Finance,Udemy
96,Practical Accounts APP Overview,https://www.udemy.com/practical-accounts-app-overview/,TRUE,20,3,Intermediate,Business Finance,Udemy
97,Bitcoin Profits for Beginners,https://www.udemy.com/bitcoin-profits-for-beginners/,TRUE,100,1.5,Beginner,Business Finance,Udemy
98,Trend Traders Club: How To Find And Trade Fast Moving Trends,https://www.udemy.com/how-to-find-and-trade-profitable-fast-moving-trends/,TRUE,75,5.5,All Levels,Business Finance,Udemy
99,Financial Statements Basics,https://www.udemy.com/financial-statements-basics/,TRUE,20,2,Beginner,Business Finance,Udemy
100,High performance Stock Trading using key Options techniques,https://www.udemy.com/high-performance-stock-trading-using-options-trading-techniques/,TRUE,40,1.5,All Levels,Business Finance,Udemy
101,Introduction to Financial Statement Analysis,https://www.udemy.com/introduction-to-financial-statement-analysis/,TRUE,20,1.5,Beginner,Business Finance,Udemy
102,Basics of Economics (College Level),https://www.udemy.com/economics-for-accounting-and-finance-professionals/,TRUE,25,1.5,All Levels,Business Finance,Udemy
103,Stock Market Investing for Beginners,https://www.udemy.com/the-beginners-guide-to-the-stock-market/,FALSE,0,1.5,Beginner,Business Finance,Udemy
104,Accounting for Beginners : Learn Basics in under 1 Hour,https://www.udemy.com/accounting-for-beginners-how-to-do-accounting-super-easily/,TRUE,50,1.5,Beginner,Business Finance,Udemy
105,Straddle Options Trading - Profit in Any Market Direction,https://www.udemy.com/straddle-options-trading-profit-in-any-market-direction/,TRUE,200,1,All Levels,Business Finance,Udemy
106,Fundamentals of Forex Trading,https://www.udemy.com/fundamentals-of-forex-trading/,FALSE,0,1,All Levels,Business Finance,Udemy
107,"Binary Options: Trading Strategies, 90% Accuracy and Signals",https://www.udemy.com/learn-trading-binary-options-from-scratch-and-3-strategies/,TRUE,195,1,Beginner,Business Finance,Udemy
108,Website Investing 101 - Buying & Selling Online Businesses,https://www.udemy.com/cash-flow-website-investing-buy-sell-online-businesses-digital-assets/,FALSE,0,2,All Levels,Business Finance,Udemy
109,Practical Accounts & Bookkeeping Automated Overview ,https://www.udemy.com/practical-accounts-bookkeeping-automated-overview/,TRUE,20,4.5,All Levels,Business Finance,Udemy
110,Live Account - ETF Trading System - Hacking The Stock Market,https://www.udemy.com/cracked-wall-street-hacked-the-stock-market-top-secret/,TRUE,150,5,All Levels,Business Finance,Udemy
111,Stock Market Leverage: How to Start Trading Options Wisely,https://www.udemy.com/stock-market-tips-how-to-successfully-trade-options/,TRUE,95,1.5,Beginner,Business Finance,Udemy
112,Stock Market Foundations,https://www.udemy.com/how-to-invest-in-the-stock-market-beginners/,FALSE,0,2,Beginner,Business Finance,Udemy
113,Crash Course on Working Capital Management,https://www.udemy.com/crash-course-on-working-capital-management/,TRUE,20,1,All Levels,Business Finance,Udemy
114,Advanced Accounting A Complete Study for CA / CMA / CFA / CS,https://www.udemy.com/branch-accounts-a-complete-analysis/,TRUE,150,62,All Levels,Business Finance,Udemy
115,61% Profit In 1 Month - Crush Your Forex Trading Paradigm,https://www.udemy.com/61-profit-in-1-month-shattering-your-trading-paradigm/,TRUE,20,1.5,All Levels,Business Finance,Udemy
116,How to create a routine Trading,https://www.udemy.com/how-to-create-a-trading-routine/,TRUE,25,0.133333333,All Levels,Business Finance,Udemy
117,"Forex Trading Secrets |MT4 Robot (EA) inside, no coding",https://www.udemy.com/forex-trading-robot-forex-trading/,TRUE,150,0.683333333,All Levels,Business Finance,Udemy
118,Forex SOS Course: Trading Tweaks And Working Forex Strategy,https://www.udemy.com/forex-sos-course/,TRUE,50,2.5,Beginner,Business Finance,Udemy
119,Introduction to Financial Modeling,https://www.udemy.com/financial-modeling-asimplemodel/,FALSE,0,1.5,Intermediate,Business Finance,Udemy
120,Quantitative Aptitude for Banking & Competitive Examinations,https://www.udemy.com/quantitative-aptitude-for-competitive-examinations-part-i/,TRUE,50,3,All Levels,Business Finance,Udemy
121,Option Spreads and Credit Spreads Bundle,https://www.udemy.com/option-spreads-and-credit-spreads-bundle/,TRUE,180,4.5,Advanced,Business Finance,Udemy
122,B Com Accountancy I (Paper ECO 02 IGNOU),https://www.udemy.com/accounts-from-incomplete-records/,TRUE,50,31.5,All Levels,Business Finance,Udemy
123,FOREX TRADING - Learn in a quick + profitable way + support,https://www.udemy.com/forex-the-only-simple-trading-your-ever-need-bank-trading/,TRUE,100,3.5,All Levels,Business Finance,Udemy
124,Auditing Basics (Professional Course Level),https://www.udemy.com/basics-of-auditing/,TRUE,25,2.5,All Levels,Business Finance,Udemy
125,Stock market Investing Encyclopedia: How to invest in stocks,https://www.udemy.com/stockmarket/,TRUE,200,3,Intermediate,Business Finance,Udemy
126,Learn the basics of preparing accounting statements,https://www.udemy.com/basics-of-financial-accounting/,TRUE,20,0.55,Intermediate,Business Finance,Udemy
127,Elliott Wave -Forex Trading With The Elliott Wave Theory,https://www.udemy.com/forex-trading-with-the-elliot-wave-theory/,TRUE,90,1,Advanced,Business Finance,Udemy
128,Corporate Finance - A Brief Introduction,https://www.udemy.com/finance-a-brief-introduction-and-basics-finance-101/,FALSE,0,1.5,Beginner,Business Finance,Udemy
129,Excel functions to analyze and visualize data,https://www.udemy.com/basic-excel-functions-to-analyze-large-data/,TRUE,20,2,Intermediate,Business Finance,Udemy
130,Building Financial Statements in Excel,https://www.udemy.com/guide-to-building-financial-statements/,TRUE,35,1,Beginner,Business Finance,Udemy
131,Transfer Pricing A Complete Analysis,https://www.udemy.com/transfer-pricing-a-complete-analysis/,TRUE,50,2.5,All Levels,Business Finance,Udemy
132,Accounting: Get Hired Without Work Experience,https://www.udemy.com/accounting-get-hired-without-work-experience/,TRUE,100,1,All Levels,Business Finance,Udemy
133,Forex Trading for Beginners - Basics,https://www.udemy.com/complete-forex-trading-for-beginners-in-1-course-basics/,TRUE,50,1,All Levels,Business Finance,Udemy
134,Basic Bookkeeping Hacks,https://www.udemy.com/basic-bookkeeping/,TRUE,20,1.5,All Levels,Business Finance,Udemy
135,Complete Trading Plan Course for Stocks & Forex (10 Hours),https://www.udemy.com/killer-trading-plan-6-year-old-can-invest-10-hours-stocks-forex-etf/,TRUE,200,9.5,All Levels,Business Finance,Udemy
136,"Forex Trading with Fixed 'Risk through Options Trading""",https://www.udemy.com/forexoptions/,TRUE,200,1,Beginner,Business Finance,Udemy
137,"Intro to Investment Banking, M&A, IPO, Modeling + Free Book",https://www.udemy.com/investment-banking-mergers-ipo-financial-model-business-mba-pro-forma/,TRUE,60,20,All Levels,Business Finance,Udemy
138,How to Pick The Right Penny Stocks To Invest In 2017,https://www.udemy.com/how-to-make-5000month-trading-penny-stocks/,TRUE,150,2.5,All Levels,Business Finance,Udemy
139,Top 10 Trading Ideas in the Equities Market,https://www.udemy.com/top-10-trading-ideas-in-the-equities-market/,TRUE,20,1,All Levels,Business Finance,Udemy
140,Intro to Financial Modeling,https://www.udemy.com/intro-to-financial-modeling/,TRUE,105,6,Beginner,Business Finance,Udemy
141,Shark Accounting - Building a Business by the Numbers!,https://www.udemy.com/shark-accounting/,TRUE,20,1.5,Beginner,Business Finance,Udemy
142,Forex Trading MAKE YOUR FIRST TRADE TODAY!,https://www.udemy.com/trade-forex/,TRUE,150,4,All Levels,Business Finance,Udemy
143,Accounting in 60 Minutes - A Brief Introduction,https://www.udemy.com/accounting-in-60-minutes-a-brief-introduction/,FALSE,0,1.5,Beginner,Business Finance,Udemy
144,SAP FICO For Beginners - A Guide to SAP Financial Accounts,https://www.udemy.com/sap-fico-for-sap-beginners/,TRUE,100,5,Beginner,Business Finance,Udemy
